ក្រុម,ថ្នាក់,ថ្នាក់រង,សេចក្ដីអធិប្បាយ,row_number
,,01289,ការដាំដុះ​រុក្ខជាតិ​គ្រឿង​ទេស ​និង​រុក្ខ​ជាតិ​យក​​ក្លិន​​​ដទៃ​ទៀត ដែលពុំ​បាន​រាប់​បញ្ចូល​ (២),68
,0129,,ការដាំដុះដំណាំអចិន្ត្រៃយ៍ដទៃទៀត,69
,,01291,ការដំដុះដំណាំកៅស៊ូ (ចម្ការធំ),70
,,01292,ការដំដុះដំណាំកៅស៊ូ (ចម្ការតួច),71
,,01293,ការដាំដុះដំណាំដើមឈើដើម្បី​ដកយករុក្ខរស(៣),72
,,01294,ការដាំដុះដំណាំដើមត្នោត​​​,73
,,01295,ការដាំដុះដំណាំដើម​ស្លា,74
,,01296,ការដាំដុះដំណាំដើមរ៉ូហ្សែល,75
,,01299,ការដាំដុះដំណាំ​អាយុ​កាល​​វែងដទៃទៀត ដែលពុំបានរាប់បញ្ចូល​(៤),76
013,,,ការបណ្តុះរុក្ខជាតិ,77
,0130(5),,ការបណ្តុះរុក្ខជាតិ,78
,,01301,ការបណ្តុះរុក្ខជាតិដោយគ្រាប់(៦),79
,,01302,ការបណ្តុះរុក្ខជាតិ​​ដោយ​វិធី​សាស្ត្រ​ដទៃទៀត(៧),80
014,,,ផលិតកម្ម​សត្វ,81
,0141​(1),,ការចិញ្ចឹមគោ និងក្របី,82
,,01411,ការចិញ្ចឹម ការបង្កាត់​​ពូជ និង​ផលិតកម្ម​​​គោ​​និង​​ក្របី​,83
,,01412,ផលិតកម្មទឹកដោះគោស្រស់ពីគោឬក្របី,84
,,01413,ផលិតកម្ម​ទឹក​កាមគោឬ​​​ក្របី​,85
,0142(2),,ការចិញ្ចឹមសេះ និងសត្វក្នុងអម្បូរដូចគ្នាដ៏ទៃទៀត,86
,,01420,ការចិញ្ចឹម និង​ការ​បង្កាត់​ពូជ​សេះ លា សេះទេស ឬលា​ទេស​​,87
,0144(3),,ការចិញ្ចឹមចៀម និងពពែ,88
,,01441,ការចិញ្ចឹម ការ​បង្កាត់​ពូជ និង​ផលិតកម្ម​​​ចៀម និងពពែ,89
,,01442,ការផលិតទឹកដោះស្រស់​​របស់​សត្វ​ចៀម និងពពែ,90
,0145,,ការចិញ្ចឹមជ្រូក,91
,,01450,ការចិញ្ចឹម ការបង្កាត់ពូជ និងផលិតកម្មជ្រូក,92
,0146(4),,ការចិញ្ចឹមបសុបក្សី,93
,,01461,ការចិញ្ចឹម ការ​បង្កាត់ពូជ និងផលិតកម្ម​​កូនមាន់ និង​មាន់សម្រាប់​យកសាច់,94
,,01462,ការចិញ្ចឹម ការ​បង្កាត់ពូជ និងផលិតកម្ម​​ទា,95
,,01463,ការចិញ្ចឹម ការ​បង្កាត់ពូជ និងផលិតកម្ម​​ក្ងាន,96
,,01464,ការចិញ្ចឹម ការ​បង្កាត់ពូជបសុបក្សីដទៃទៀត ដែល​ពុំ​​បានរាប់​បញ្ចូល,97
,,01465,ផលិតកម្ម​ស៊ុតមាន់,98
,,01466,ផលិតកម្មស៊ុតទា,99
,,01469,ផលិតកម្មស៊ុតបសុបក្សីដទៃទៀត ដែលពុំ​បាន​រាប់​បញ្ចូល,100
,0149(1),,ការចិញ្ចឹមសត្វប្រភេទដទៃទៀត,101
