Month,Number of Visitors,Revenue(USD)
2022-01-01,77436.0,3643498.0
2022-02-01,79515.0,3743295.0
2022-03-01,79390.0,3748700.0
2022-04-01,62657.0,2895714.0
2022-05-01,45759.0,2034623.0
2022-06-01,41012.0,1811589.0
2022-07-01,53596.0,2439927.0
2022-08-01,59148.0,2774586.0
2022-09-01,41048.0,1863466.0
2022-10-01,63009.0,2927038.0
2022-11-01,97426.0,4664412.0
2022-12-01,98073.0,4652141.0
