Month,Number of Visitors,Revenue(USD)
2023-01-01,1612.0,24180.0
2023-02-01,1434.0,21510.0
2023-03-01,1313.0,19695.0
2023-04-01,859.0,12885.0
2023-05-01,720.0,10800.0
2023-06-01,431.0,6465.0
2023-07-01,706.0,10590.0
2023-08-01,1120.0,16800.0
2023-09-01,635.0,9525.0
2023-10-01,1104.0,16560.0
2023-11-01,2346.0,35190.0
2023-12-01,2526.0,37890.0
