Merchandise,Export_Amount_(million_USD)
Clothes,9035.0
Shoes,1737.0
Travel Equipment,1777.0
Bicycles,1998.0
Electrical Appliances and Equipment,900.0
Rice,948.0
Furniture and Lighting,542.0
Rubber and Rubber Products,42.0
Sugar,998.0
Other,416.0
