Merchandise,Export_Amount_(million_USD)
Clothes,7106.0
Textiles,118.0
Shoes,1214.0
Travel Equipment,1472.0
Bicycles,399.0
Furniture and Lighting,2944.0
Rice (Sraov),1093.0
Rice (Angor),422.0
Bananas,156.0
Cashew Nuts,381.0
Mangoes,102.0
Cassava,549.0
Rubber,452.0
Longan,19.0
Pepper,14.0
Sugar,105.0
Corn,29.0
Other,4721.0
