export,import,balance,volume,Year
14748738.0,20171813.0,-5423073.0,34920551.0,2020
18342259.0,19100028.0,-757768.0,37442285.0,2021
19308910.0,28702889.66,-9393979.662,48011799.65,2022
19308910.0,28702889.66,-9393979.662,48011799.65,2023
22644989.33,24183042.79,-1538053.465,46828032.13,2024
