Start_Date,End_Date,Quarter,No. Trading Days,No. of Listings (Stocks),Total Trading Value (KHR),Total Trading Volume (Shares),Daily Average (KHR),Market Capitalization (KHR),Closing Index
2019-01-01,2019-03-31,Q1,60.0,5.0,12676000000.0,4038654.0,211260000.0,2137180000000.0,580.21
2019-04-01,2019-06-30,Q2,55.0,5.0,123562000000.0,9982702.0,2246580000.0,2281070000000.0,619.27
2019-07-01,2019-09-30,Q3,63.0,5.0,6834000000.0,789943.0,108480000.0,3201550000000.0,869.16
2019-10-01,2019-12-31,Q4,59.0,5.0,5807000000.0,678606.0,98420000.0,2805810000000.0,761.73
