Merchandise,Import_Amount_(million_USD)
Textiles,5706.89
Electronics,3320.43
Construction Materials,1479.21
Gasoil ppm (D.O),1305.83
Vehicles,907.79
Gasoline,876.11
Iron and Steel,739.31
Paper and Carton,625.85
Food and Beverage Equipment,593.46
Agricultural Fertilizers and Herbicides,564.51
Coal,526.09
Electricity,314.94
Combustion Gas,308.15
Pharmaceutical and Nutritional Products,264.03
Purified Water,248.43
Perfumes or Cosmetics,118.22
