Indicator,Sub-Indicator,Date,Value
Interest Rate on Deposits and Loans in KHR,Credit Card,2015-08-01,25.790
Interest Rate on Deposits and Loans in KHR,Term Loans,2015-08-01,0.000
Interest Rate on Deposits and Loans in USD,Other Loans,2015-08-01,0.070
Interest Rate on Deposits and Loans in USD,Demand Deposits,2015-08-01,0.700
Interest Rate on Deposits and Loans in USD,Saving Deposits,2015-08-01,3.640
Interest Rate on Deposits and Loans in USD,Term Deposits,2015-08-01,0.680
Interest Rate on Deposits and Loans in USD,Other Deposits,2015-08-01,8.430
Interest Rate on Deposits and Loans in USD,Overdraft,2015-08-01,11.150
Interest Rate on Deposits and Loans in USD,Credit Card,2015-08-01,12.590
Interest Rate on Deposits and Loans in USD,Term Loans,2015-08-01,8.370
Interest Rate on Deposits and Loans in KHR,Other Loans,2015-08-01,0.150
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2015-08-01,1.410
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2015-08-01,6.980
Interest Rate on Deposits and Loans in KHR,Term Deposits,2015-08-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Deposits,2015-08-01,11.240
Interest Rate on Deposits and Loans in KHR,Overdraft,2015-08-01,0.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2015-08-01,26.030
Interest Rate on Deposits and Loans in KHR,Term Loans,2015-08-01,0.000
Interest Rate on Deposits and Loans in USD,Other Loans,2015-08-01,0.280
Interest Rate on Deposits and Loans in USD,Demand Deposits,2015-08-01,0.880
Interest Rate on Deposits and Loans in USD,Saving Deposits,2015-08-01,4.330
Interest Rate on Deposits and Loans in USD,Term Deposits,2015-08-01,1.940
Interest Rate on Deposits and Loans in USD,Other Deposits,2015-08-01,8.670
Interest Rate on Deposits and Loans in USD,Overdraft,2015-08-01,18.110
Interest Rate on Deposits and Loans in USD,Credit Card,2015-08-01,10.620
Interest Rate on Deposits and Loans in USD,Term Loans,2015-08-01,7.820
Interest Rate on Deposits and Loans in USD,Other Loans,2015-08-01,
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2015-09-01,0.070
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2015-09-01,1.190
Interest Rate on Deposits and Loans in KHR,Term Deposits,2015-09-01,5.950
Interest Rate on Deposits and Loans in KHR,Other Deposits,2015-09-01,0.000
Interest Rate on Deposits and Loans in KHR,Overdraft,2015-09-01,9.830
Interest Rate on Deposits and Loans in KHR,Credit Card,2015-09-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2015-09-01,24.920
Interest Rate on Deposits and Loans in KHR,Other Loans,2015-09-01,0.000
Interest Rate on Deposits and Loans in USD,Demand Deposits,2015-09-01,0.060
Interest Rate on Deposits and Loans in USD,Saving Deposits,2015-09-01,0.700
Interest Rate on Deposits and Loans in USD,Term Deposits,2015-09-01,3.410
Interest Rate on Deposits and Loans in USD,Other Deposits,2015-09-01,0.810
Interest Rate on Deposits and Loans in USD,Overdraft,2015-09-01,8.350
Interest Rate on Deposits and Loans in USD,Credit Card,2015-09-01,15.350
Interest Rate on Deposits and Loans in USD,Term Loans,2015-09-01,11.950
Interest Rate on Deposits and Loans in USD,Other Loans,2015-09-01,8.150
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2015-09-01,0.160
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2015-09-01,1.410
Interest Rate on Deposits and Loans in KHR,Term Deposits,2015-09-01,6.920
Interest Rate on Deposits and Loans in KHR,Other Deposits,2015-09-01,0.000
Interest Rate on Deposits and Loans in KHR,Overdraft,2015-09-01,11.070
Interest Rate on Deposits and Loans in KHR,Credit Card,2015-09-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2015-09-01,25.530
Interest Rate on Deposits and Loans in KHR,Other Loans,2015-09-01,0.000
Interest Rate on Deposits and Loans in USD,Demand Deposits,2015-09-01,0.270
Interest Rate on Deposits and Loans in USD,Saving Deposits,2015-09-01,0.900
Interest Rate on Deposits and Loans in USD,Term Deposits,2015-09-01,4.370
Interest Rate on Deposits and Loans in USD,Other Deposits,2015-09-01,1.940
Interest Rate on Deposits and Loans in USD,Overdraft,2015-09-01,8.670
Interest Rate on Deposits and Loans in USD,Credit Card,2015-09-01,17.990
Interest Rate on Deposits and Loans in USD,Term Loans,2015-09-01,10.740
Interest Rate on Deposits and Loans in USD,Other Loans,2015-09-01,7.770
Interest Rate on Deposits and Loans in USD,Demand Deposits,2015-09-01,
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2015-10-01,0.040
Interest Rate on Deposits and Loans in KHR,Term Deposits,2015-10-01,1.160
Interest Rate on Deposits and Loans in KHR,Other Deposits,2015-10-01,5.800
Interest Rate on Deposits and Loans in KHR,Overdraft,2015-10-01,0.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2015-10-01,10.440
Interest Rate on Deposits and Loans in KHR,Term Loans,2015-10-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Loans,2015-10-01,25.420
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2015-10-01,0.000
Interest Rate on Deposits and Loans in USD,Saving Deposits,2015-10-01,0.080
Interest Rate on Deposits and Loans in USD,Term Deposits,2015-10-01,0.730
Interest Rate on Deposits and Loans in USD,Other Deposits,2015-10-01,3.170
Interest Rate on Deposits and Loans in USD,Overdraft,2015-10-01,1.600
Interest Rate on Deposits and Loans in USD,Credit Card,2015-10-01,8.340
Interest Rate on Deposits and Loans in USD,Term Loans,2015-10-01,15.090
Interest Rate on Deposits and Loans in USD,Other Loans,2015-10-01,12.190
Interest Rate on Deposits and Loans in USD,Demand Deposits,2015-10-01,7.830
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2015-10-01,0.140
Interest Rate on Deposits and Loans in KHR,Term Deposits,2015-10-01,1.380
Interest Rate on Deposits and Loans in KHR,Other Deposits,2015-10-01,6.920
Interest Rate on Deposits and Loans in KHR,Overdraft,2015-10-01,0.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2015-10-01,12.750
Interest Rate on Deposits and Loans in KHR,Term Loans,2015-10-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Loans,2015-10-01,25.600
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2015-10-01,0.000
Interest Rate on Deposits and Loans in USD,Saving Deposits,2015-10-01,0.280
Interest Rate on Deposits and Loans in USD,Term Deposits,2015-10-01,0.930
Interest Rate on Deposits and Loans in USD,Other Deposits,2015-10-01,4.360
Interest Rate on Deposits and Loans in USD,Overdraft,2015-10-01,2.180
Interest Rate on Deposits and Loans in USD,Credit Card,2015-10-01,8.650
Interest Rate on Deposits and Loans in USD,Term Loans,2015-10-01,18.440
Interest Rate on Deposits and Loans in USD,Other Loans,2015-10-01,10.750
Interest Rate on Deposits and Loans in USD,Demand Deposits,2015-10-01,7.760
Interest Rate on Deposits and Loans in USD,Saving Deposits,2015-10-01,
Interest Rate on Deposits and Loans in KHR,Term Deposits,2015-11-01,0.080
Interest Rate on Deposits and Loans in KHR,Other Deposits,2015-11-01,1.170
Interest Rate on Deposits and Loans in KHR,Overdraft,2015-11-01,6.170
Interest Rate on Deposits and Loans in KHR,Credit Card,2015-11-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2015-11-01,10.740
Interest Rate on Deposits and Loans in KHR,Other Loans,2015-11-01,0.000
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2015-11-01,23.580
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2015-11-01,0.000
Interest Rate on Deposits and Loans in USD,Term Deposits,2015-11-01,0.110
Interest Rate on Deposits and Loans in USD,Other Deposits,2015-11-01,0.670
Interest Rate on Deposits and Loans in USD,Overdraft,2015-11-01,3.250
Interest Rate on Deposits and Loans in USD,Credit Card,2015-11-01,1.460
Interest Rate on Deposits and Loans in USD,Term Loans,2015-11-01,7.990
Interest Rate on Deposits and Loans in USD,Other Loans,2015-11-01,16.800
Interest Rate on Deposits and Loans in USD,Demand Deposits,2015-11-01,11.170
Interest Rate on Deposits and Loans in USD,Saving Deposits,2015-11-01,7.380
Interest Rate on Deposits and Loans in KHR,Term Deposits,2015-11-01,0.130
Interest Rate on Deposits and Loans in KHR,Other Deposits,2015-11-01,1.290
Interest Rate on Deposits and Loans in KHR,Overdraft,2015-11-01,7.010
Interest Rate on Deposits and Loans in KHR,Credit Card,2015-11-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2015-11-01,12.080
Interest Rate on Deposits and Loans in KHR,Other Loans,2015-11-01,0.000
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2015-11-01,25.320
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2015-11-01,0.000
Interest Rate on Deposits and Loans in USD,Term Deposits,2015-11-01,0.270
Interest Rate on Deposits and Loans in USD,Other Deposits,2015-11-01,0.920
Interest Rate on Deposits and Loans in USD,Overdraft,2015-11-01,4.290
Interest Rate on Deposits and Loans in USD,Credit Card,2015-11-01,2.180
Interest Rate on Deposits and Loans in USD,Term Loans,2015-11-01,8.520
Interest Rate on Deposits and Loans in USD,Other Loans,2015-11-01,18.830
Interest Rate on Deposits and Loans in USD,Demand Deposits,2015-11-01,10.700
Interest Rate on Deposits and Loans in USD,Saving Deposits,2015-11-01,7.730
Interest Rate on Deposits and Loans in USD,Term Deposits,2015-11-01,
Interest Rate on Deposits and Loans in KHR,Other Deposits,2015-12-01,0.060
Interest Rate on Deposits and Loans in KHR,Overdraft,2015-12-01,1.170
Interest Rate on Deposits and Loans in KHR,Credit Card,2015-12-01,5.900
Interest Rate on Deposits and Loans in KHR,Term Loans,2015-12-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Loans,2015-12-01,21.600
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2015-12-01,0.000
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2015-12-01,21.510
Interest Rate on Deposits and Loans in KHR,Term Deposits,2015-12-01,0.000
Interest Rate on Deposits and Loans in USD,Other Deposits,2015-12-01,0.170
Interest Rate on Deposits and Loans in USD,Overdraft,2015-12-01,0.680
Interest Rate on Deposits and Loans in USD,Credit Card,2015-12-01,3.270
Interest Rate on Deposits and Loans in USD,Term Loans,2015-12-01,1.240
Interest Rate on Deposits and Loans in USD,Other Loans,2015-12-01,7.280
Interest Rate on Deposits and Loans in USD,Demand Deposits,2015-12-01,17.140
Interest Rate on Deposits and Loans in USD,Saving Deposits,2015-12-01,10.820
Interest Rate on Deposits and Loans in USD,Term Deposits,2015-12-01,7.230
Interest Rate on Deposits and Loans in KHR,Other Deposits,2015-12-01,0.170
Interest Rate on Deposits and Loans in KHR,Overdraft,2015-12-01,1.210
Interest Rate on Deposits and Loans in KHR,Credit Card,2015-12-01,6.640
Interest Rate on Deposits and Loans in KHR,Term Loans,2015-12-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Loans,2015-12-01,9.290
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2015-12-01,0.000
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2015-12-01,24.100
Interest Rate on Deposits and Loans in KHR,Term Deposits,2015-12-01,0.000
Interest Rate on Deposits and Loans in USD,Other Deposits,2015-12-01,0.350
Interest Rate on Deposits and Loans in USD,Overdraft,2015-12-01,0.920
Interest Rate on Deposits and Loans in USD,Credit Card,2015-12-01,4.410
Interest Rate on Deposits and Loans in USD,Term Loans,2015-12-01,2.100
Interest Rate on Deposits and Loans in USD,Other Loans,2015-12-01,8.380
Interest Rate on Deposits and Loans in USD,Demand Deposits,2015-12-01,18.490
Interest Rate on Deposits and Loans in USD,Saving Deposits,2015-12-01,10.770
Interest Rate on Deposits and Loans in USD,Term Deposits,2015-12-01,7.730
Interest Rate on Deposits and Loans in USD,Other Deposits,2015-12-01,
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-01-01,0.020
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-01-01,1.430
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-01-01,5.620
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-01-01,0.000
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-01-01,9.760
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-01-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-01-01,25.260
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-01-01,0.000
Interest Rate on Deposits and Loans in USD,Overdraft,2016-01-01,0.630
Interest Rate on Deposits and Loans in USD,Credit Card,2016-01-01,0.770
Interest Rate on Deposits and Loans in USD,Term Loans,2016-01-01,3.310
Interest Rate on Deposits and Loans in USD,Other Loans,2016-01-01,1.140
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-01-01,8.050
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-01-01,17.370
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-01-01,14.270
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-01-01,8.120
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-01-01,0.160
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-01-01,1.320
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-01-01,6.890
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-01-01,0.000
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-01-01,10.350
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-01-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-01-01,24.360
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-01-01,0.000
Interest Rate on Deposits and Loans in USD,Overdraft,2016-01-01,0.350
Interest Rate on Deposits and Loans in USD,Credit Card,2016-01-01,0.830
Interest Rate on Deposits and Loans in USD,Term Loans,2016-01-01,4.270
Interest Rate on Deposits and Loans in USD,Other Loans,2016-01-01,2.010
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-01-01,8.520
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-01-01,18.240
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-01-01,10.590
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-01-01,7.700
Interest Rate on Deposits and Loans in USD,Overdraft,2016-01-01,
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-02-01,0.050
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-02-01,1.410
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-02-01,5.870
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-02-01,0.000
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-02-01,10.270
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-02-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-02-01,25.770
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-02-01,0.000
Interest Rate on Deposits and Loans in USD,Credit Card,2016-02-01,0.300
Interest Rate on Deposits and Loans in USD,Term Loans,2016-02-01,0.740
Interest Rate on Deposits and Loans in USD,Other Loans,2016-02-01,3.350
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-02-01,1.210
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-02-01,7.930
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-02-01,17.490
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-02-01,13.940
Interest Rate on Deposits and Loans in USD,Overdraft,2016-02-01,8.370
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-02-01,0.150
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-02-01,1.310
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-02-01,6.780
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-02-01,0.000
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-02-01,10.940
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-02-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-02-01,24.200
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-02-01,0.000
Interest Rate on Deposits and Loans in USD,Credit Card,2016-02-01,0.330
Interest Rate on Deposits and Loans in USD,Term Loans,2016-02-01,0.820
Interest Rate on Deposits and Loans in USD,Other Loans,2016-02-01,4.340
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-02-01,1.990
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-02-01,8.480
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-02-01,18.570
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-02-01,10.620
Interest Rate on Deposits and Loans in USD,Overdraft,2016-02-01,7.660
Interest Rate on Deposits and Loans in USD,Credit Card,2016-02-01,
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-03-01,0.170
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-03-01,1.250
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-03-01,6.610
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-03-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-03-01,9.880
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-03-01,21.600
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-03-01,25.930
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-03-01,0.000
Interest Rate on Deposits and Loans in USD,Term Loans,2016-03-01,0.380
Interest Rate on Deposits and Loans in USD,Other Loans,2016-03-01,0.820
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-03-01,3.550
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-03-01,1.630
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-03-01,8.000
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-03-01,15.800
Interest Rate on Deposits and Loans in USD,Overdraft,2016-03-01,13.700
Interest Rate on Deposits and Loans in USD,Credit Card,2016-03-01,7.870
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-03-01,0.120
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-03-01,1.280
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-03-01,7.100
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-03-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-03-01,10.580
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-03-01,0.000
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-03-01,24.290
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-03-01,0.000
Interest Rate on Deposits and Loans in USD,Term Loans,2016-03-01,0.320
Interest Rate on Deposits and Loans in USD,Other Loans,2016-03-01,0.820
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-03-01,4.280
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-03-01,2.050
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-03-01,8.460
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-03-01,18.440
Interest Rate on Deposits and Loans in USD,Overdraft,2016-03-01,10.730
Interest Rate on Deposits and Loans in USD,Credit Card,2016-03-01,7.590
Interest Rate on Deposits and Loans in USD,Term Loans,2016-03-01,
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-04-01,0.270
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-04-01,1.410
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-04-01,5.860
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-04-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-04-01,10.290
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-04-01,0.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-04-01,26.180
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-04-01,0.000
Interest Rate on Deposits and Loans in USD,Other Loans,2016-04-01,0.300
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-04-01,0.940
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-04-01,3.260
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-04-01,1.720
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-04-01,8.060
Interest Rate on Deposits and Loans in USD,Overdraft,2016-04-01,16.650
Interest Rate on Deposits and Loans in USD,Credit Card,2016-04-01,13.440
Interest Rate on Deposits and Loans in USD,Term Loans,2016-04-01,8.130
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-04-01,0.130
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-04-01,1.240
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-04-01,6.680
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-04-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-04-01,11.580
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-04-01,0.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-04-01,24.290
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-04-01,0.000
Interest Rate on Deposits and Loans in USD,Other Loans,2016-04-01,0.320
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-04-01,0.790
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-04-01,4.250
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-04-01,2.150
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-04-01,8.500
Interest Rate on Deposits and Loans in USD,Overdraft,2016-04-01,18.320
Interest Rate on Deposits and Loans in USD,Credit Card,2016-04-01,10.690
Interest Rate on Deposits and Loans in USD,Term Loans,2016-04-01,7.520
Interest Rate on Deposits and Loans in USD,Other Loans,2016-04-01,
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-05-01,0.050
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-05-01,1.420
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-05-01,6.380
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-05-01,0.000
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-05-01,9.710
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-05-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-05-01,25.460
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-05-01,0.000
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-05-01,0.250
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-05-01,0.810
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-05-01,3.470
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-05-01,1.420
Interest Rate on Deposits and Loans in USD,Overdraft,2016-05-01,8.010
Interest Rate on Deposits and Loans in USD,Credit Card,2016-05-01,16.530
Interest Rate on Deposits and Loans in USD,Term Loans,2016-05-01,13.360
Interest Rate on Deposits and Loans in USD,Other Loans,2016-05-01,7.920
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-05-01,0.160
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-05-01,1.290
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-05-01,7.090
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-05-01,0.000
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-05-01,11.130
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-05-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-05-01,24.180
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-05-01,0.000
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-05-01,0.350
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-05-01,0.850
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-05-01,4.320
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-05-01,2.190
Interest Rate on Deposits and Loans in USD,Overdraft,2016-05-01,8.470
Interest Rate on Deposits and Loans in USD,Credit Card,2016-05-01,18.080
Interest Rate on Deposits and Loans in USD,Term Loans,2016-05-01,10.790
Interest Rate on Deposits and Loans in USD,Other Loans,2016-05-01,7.590
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-05-01,
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-06-01,0.100
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-06-01,1.410
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-06-01,6.710
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-06-01,0.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-06-01,9.850
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-06-01,21.640
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-06-01,25.980
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-06-01,0.000
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-06-01,0.410
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-06-01,0.860
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-06-01,3.750
Interest Rate on Deposits and Loans in USD,Overdraft,2016-06-01,1.780
Interest Rate on Deposits and Loans in USD,Credit Card,2016-06-01,7.830
Interest Rate on Deposits and Loans in USD,Term Loans,2016-06-01,14.420
Interest Rate on Deposits and Loans in USD,Other Loans,2016-06-01,13.800
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-06-01,7.920
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-06-01,0.180
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-06-01,1.300
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-06-01,7.090
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-06-01,0.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-06-01,10.660
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-06-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-06-01,24.210
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-06-01,0.000
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-06-01,0.320
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-06-01,0.840
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-06-01,4.380
Interest Rate on Deposits and Loans in USD,Overdraft,2016-06-01,2.080
Interest Rate on Deposits and Loans in USD,Credit Card,2016-06-01,8.440
Interest Rate on Deposits and Loans in USD,Term Loans,2016-06-01,18.190
Interest Rate on Deposits and Loans in USD,Other Loans,2016-06-01,10.930
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-06-01,7.480
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-06-01,
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-07-01,0.020
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-07-01,1.430
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-07-01,5.870
Interest Rate on Deposits and Loans in KHR,Credit Card,2016-07-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2016-07-01,10.290
Interest Rate on Deposits and Loans in KHR,Other Loans,2016-07-01,21.640
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2016-07-01,24.890
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2016-07-01,0.000
Interest Rate on Deposits and Loans in USD,Term Deposits,2016-07-01,0.210
Interest Rate on Deposits and Loans in USD,Other Deposits,2016-07-01,0.960
Interest Rate on Deposits and Loans in USD,Overdraft,2016-07-01,3.500
Interest Rate on Deposits and Loans in USD,Credit Card,2016-07-01,0.850
Interest Rate on Deposits and Loans in USD,Term Loans,2016-07-01,7.840
Interest Rate on Deposits and Loans in USD,Other Loans,2016-07-01,14.120
Interest Rate on Deposits and Loans in USD,Demand Deposits,2016-07-01,12.610
Interest Rate on Deposits and Loans in USD,Saving Deposits,2016-07-01,7.690
Interest Rate on Deposits and Loans in KHR,Term Deposits,2016-07-01,0.170
Interest Rate on Deposits and Loans in KHR,Other Deposits,2016-07-01,1.250
Interest Rate on Deposits and Loans in KHR,Overdraft,2016-07-01,6.830
