Start_Date,End_Date,Quarter,No. Trading Days,No. of Listings (Stocks),Total Trading Value (KHR),Total Trading Volume (Shares),Daily Average (KHR),Market Capitalization (KHR),Closing Index
2016-01-01,2016-03-31,Q1,61.0,3.0,2486000000.0,534751.0,40750000.0,699491000000.0,389.68
2016-04-01,2016-06-30,Q2,56.0,4.0,2338000000.0,638050.0,41750000.0,848100000000.0,375.6
2016-07-01,2016-09-30,Q3,65.0,4.0,2529000000.0,703144.0,38910000.0,761961000000.0,337.45
2016-10-01,2016-12-31,Q4,59.0,4.0,2671000000.0,738495.0,45260000.0,804540000000.0,356.31
