Start_Date,End_Date,Quarter,No. Trading Days,No. of Listings (Stocks),Total Trading Value (KHR),Total Trading Volume (Shares),Daily Average (KHR),Market Capitalization (KHR),Closing Index
2021-01-01,2021-03-31,Q1,61.0,7.0,34836000000.0,5534146.0,571080000.0,9697100000000.0,639.36
2021-04-01,2021-06-30,Q2,58.0,7.0,60908000000.0,7689903.0,1050140000.0,8405560000000.0,554.21
2021-07-01,2021-09-30,Q3,65.0,8.0,66875000000.0,7339231.0,1028850000.0,7448010000000.0,490.11
