Start_Date,End_Date,Quarter,No. Trading Days,No. of Listings (Stocks),Total Trading Value (KHR),Total Trading Volume (Shares),Daily Average (KHR),Market Capitalization (KHR),Closing Index
2023-01-01,2023-03-31,Q1,64.0,9.0,49993000000.0,5470178.0,781140000.0,7612780000000.0,493.21
2023-04-01,2023-06-30,Q2,61.0,11.0,62923000000.0,7599625.0,1031520000.0,12473200000000.0,460.85
2022-07-01,2022-09-30,Q3,64.0,11.0,55322000000.0,11489054.0,864400000.0,12299600000000.0,455.66
2022-10-01,2022-12-31,Q4,61.0,11.0,38816000000.0,7480198.0,636330000.0,12805100000000.0,472.69
