Start_Date,Quarter,End_Date,Market Cap. (Mil. KHR),Market Cap. (Mil.USD),Trading Volume (Shares),Daily Average of Trading Volume (Shares),Trading Value (Mil. KHR),Trading Value (USD),Daily Average of Trading Value (Mil. KHR),Daily Average of Trading Value (USD)
2023-04-01,Q2,2023-06-30,4702250.89,1138.56,917838.0,15047.0,2153.6,521453.84,35.3,8548.42
2023-07-01,Q3,2023-09-30,4780621.74,1159.78,4316961.0,35677.0,12252.9,2972562.97,101.26,24566.64
2023-10-01,Q4,2023-12-31,5152883.0,1261.42,838566.0,13747.0,2074.69,507881.04,34.01,8325.92
