Start_Date,End_Date,Quarter,No. Trading Days,No. of Listings (Stocks),Total Trading Value (KHR),Total Trading Volume (Shares),Daily Average (KHR),Market Capitalization (KHR),Closing Index
2014-01-01,2014-03-31,Q1,59.0,1.0,296000000.0,59202.0,5010000.0,431387000000.0,533.33
2014-04-01,2014-06-30,Q2,55.0,2.0,6596000000.0,907639.0,119930000.0,788774000000.0,517.77
2014-07-01,2014-09-30,Q3,58.0,2.0,3476000000.0,544139.0,59930000.0,720179000000.0,472.74
2014-10-01,2014-12-31,Q4,52.0,2.0,1745000000.0,275959.0,33560000.0,658682000000.0,432.38
