Start_Date,End_Date,Quarter,No. Trading Days,No. of Listings (Stocks),Total Trading Value (KHR),Total Trading Volume (Shares),Daily Average (KHR),Market Capitalization (KHR),Closing Index
2022-01-01,2022-03-31,Q1,62.0,9.0,112099000000.0,13402060.0,1808050000.0,8647010000000.0,559.89
2022-04-01,2022-06-30,Q2,61.0,9.0,317432000000.0,30194252.0,5203800000.0,7585800000000.0,491.45
2022-07-01,2022-09-30,Q3,65.0,9.0,63820000000.0,6466080.0,981840000.0,7192740000000.0,467.02
2022-10-01,2022-12-31,Q4,62.0,9.0,51706000000.0,5918956.0,833970000.0,7479230000000.0,483.71
