Date,Month,IMF_Special Drawing Right,ASIA_Australian Dollar,ASIA_Hong Kong Dollar,ASIA_Japanese Yen,ASIA_Korean Won,ASIA_New Zealand Dollar,ASIA_Chinese Yuan,ASIA_Taiwan Dollar,ASEAN_Indonesian Repiah,ASEAN_Malaysian Ringgit,ASEAN_Philippine Peso,ASEAN_Singapore Dollar,ASEAN_Thai Baht,ASEAN_Vietnamese Dong,EUROPE_Euro,EUROPE_Great Britian Pounds
2022-01-01,Jan,5655.0,2845.0,522.0,35.24,3.37,2664.0,639.0,146.0,0.283,972.0,79.38,2999.0,122.0,0.18,4534.0,5450.0
2022-02-01,Feb,5669.0,2921.0,521.0,35.18,3.38,2721.0,644.0,145.0,0.283,968.0,79.2,2993.0,124.0,0.178,4546.0,5436.0
2022-03-01,Mar,5602.0,3040.0,517.0,33.14,3.35,2824.0,638.0,142.0,0.282,964.0,77.87,2994.0,122.0,0.177,4521.0,5320.0
2022-04-01,Apr,5421.0,2882.0,516.0,30.97,3.18,2630.0,611.0,137.0,0.279,928.0,77.45,2920.0,118.0,0.176,4254.0,5049.0
2022-05-01,May,5480.0,2922.0,518.0,31.79,3.28,2663.0,610.0,140.0,0.279,931.0,77.67,2972.0,119.0,0.175,4376.0,5136.0
2022-06-01,Jun,5425.0,2799.0,519.0,29.78,3.13,2531.0,607.0,137.0,0.274,925.0,73.93,2922.0,116.0,0.175,4250.0,4936.0
2022-07-01,Jul,5398.0,2868.0,522.0,30.5,3.16,2580.0,608.0,137.0,0.275,921.0,73.46,2972.0,113.0,0.175,4177.0,4989.0
2022-08-01,Aug,5356.0,2815.0,523.0,29.61,3.04,2518.0,595.0,135.0,0.277,918.0,73.08,2938.0,113.0,0.175,4117.0,4789.0
2022-09-01,Sep,5255.0,2682.0,525.0,28.53,2.86,2366.0,578.0,129.0,0.27,889.0,69.85,2878.0,108.0,0.173,4049.0,4605.0
2022-10-01,Oct,5323.0,2654.0,528.0,28.05,2.91,2404.0,571.0,129.0,0.266,877.0,71.44,2935.0,109.0,0.167,4124.0,4802.0
2022-11-01,Nov,5417.0,2751.0,528.0,29.71,3.11,2552.0,576.0,133.0,0.262,915.0,72.88,2997.0,116.0,0.167,4254.0,4923.0
