Product,Value (in million USD)
Clothing,7420.28
Shoes,1116.73
Traveling equipment,964.7
Electrical equipment,755.34
Bike,527.08
Rice,468.58
Furniture,631.88
Crepe Rubber,280.34
Cane Sugar,46.04
Fruit and Vegetable,134.63
Other,4869.76
