Start_Date,Quarter,End_Date,No. Trading Days,No. of Listings (Stocks)*,Total Trading Value (KHR)*,Total Trading Volume (Shares)*,Daily Average (KHR)*,Market Capitalization (KHR)*,Full Market Capitalization (KHR)*,Closing Index
2024-01-01,Q1,2024-03-31,63.0,11.0,21037000000.0,3396026.0,333910000.0,12370000000000.0,20987000000000.0,456.9
2024-04-01,Q2,2024-06-30,59.0,11.0,53027000000.0,10587037.0,898770000.0,11215000000000.0,19601000000000.0,414.14
