Month,Number of Visitors,Revenue(USD)
2021-01-01,1213.0,50466.0
2021-02-01,2981.0,122357.0
2021-03-01,288.0,12256.0
2021-04-01,46.0,2137.0
2021-05-01,246.0,9992.0
2021-06-01,555.0,22010.0
2021-07-01,447.0,18804.0
2021-08-01,163.0,6506.0
2021-09-01,228.0,9281.0
2021-10-01,1119.0,45968.0
2021-11-01,2202.0,85919.0
2021-12-01,3384.0,142425.0
