Month,Number of Visitors,Revenue(USD)
2021-01-01,62.0,930.0
2021-02-01,70.0,1050.0
2021-03-01,26.0,390.0
2021-04-01,1.0,15.0
2021-05-01,23.0,345.0
2021-06-01,27.0,405.0
2021-07-01,36.0,540.0
2021-08-01,0.0,0.0
2021-09-01,6.0,90.0
2021-10-01,52.0,780.0
2021-11-01,86.0,1290.0
2021-12-01,122.0,1830.0
