Month,Number of Visitors,Revenue(USD)
2024-01-01,115532.0,5498054.0
2024-02-01,120318.0,5736621.0
2024-03-01,111684.0,5298618.0
2024-04-01,73845.0,3384240.0
2024-05-01,50879.0,2289358.0
2024-06-01,49692.0,2150804.0
2024-07-01,62425.0,2819735.0
2024-08-01,67482.0,3156799.0
2024-09-01,47993.0,2188501.0
2024-10-01,74353.0,3465231.0
2024-11-01,124136.0,5920872.0
2024-12-01,125349.0,5918148.0
