Start_Date,End_Date,Quarter,No. Trading Days,No. of Listings (Stocks),Total Trading Value (KHR),Total Trading Volume (Shares),Daily Average (KHR),Market Capitalization (KHR),Closing Index
2015-01-01,2015-03-31,Q1,59.0,2.0,790000000.0,153689.0,13390000.0,592598000000.0,389.0
2015-04-01,2015-06-30,Q2,55.0,2.0,2794000000.0,578273.0,50800000.0,782536000000.0,513.68
2015-07-01,2015-09-30,Q3,65.0,2.0,1283000000.0,232762.0,19740000.0,614168000000.0,403.16
2015-10-01,2015-12-31,Q4,55.0,3.0,2173000000.0,457339.0,39510000.0,716388000000.0,399.1
