Start_Date,End_Date,Quarter,No. Trading Days,No. of Listings (Stocks),Total Trading Value (KHR),Total Trading Volume (Shares),Daily Average (KHR),Market Capitalization (KHR),Closing Index
2017-01-01,2017-03-31,Q1,63.0,4.0,1772000000.0,405692.0,28130000.0,813695000000.0,360.36
2017-04-01,2017-06-30,Q2,57.0,5.0,4842000000.0,1462021.0,84950000.0,1172400000000.0,328.24
2017-07-01,2017-09-30,Q3,61.0,5.0,4377000000.0,1389826.0,71760000.0,1189510000000.0,333.03
2017-10-01,2017-12-31,Q4,58.0,5.0,1579000000.0,365975.0,27220000.0,1230680000000.0,344.56
