Month,Number of Visitors,Revenue(USD)
2024-01-01,2894.0,43410.0
2024-02-01,2902.0,43530.0
2024-03-01,2281.0,34215.0
2024-04-01,1090.0,16350.0
2024-05-01,960.0,14400.0
2024-06-01,701.0,10515.0
2024-07-01,993.0,14895.0
2024-08-01,1353.0,20295.0
2024-09-01,696.0,10440.0
2024-10-01,1375.0,20625.0
2024-11-01,3336.0,50040.0
2024-12-01,3354.0,50310.0
